lead_hours,model,n,pearson_r,r2,rmse_cm,mae_cm,bias_cm,rrmse_percent,skill_vs_same_lead_ridge,top5_n,top5_threshold_cm,top5_rmse_cm,rapid_rise_n,rapid_rise_threshold_cm_per_hour,rapid_rise_rmse_cm
6,surge_mlp,8681,0.8707029938316014,0.7570670635516377,10.144443188583203,7.692436836175288,-0.5514766945722709,63.23747184720159,-0.2758420809641644,435,40.20175635814667,17.608940113281484,431,20.402446389198307,11.260493428830332
6,era5_cnn,8681,0.7354686486776194,0.5337130110105663,14.054379073826594,11.067714397806888,-1.7416624275405312,87.61086089094015,-1.4488592245096692,435,40.20175635814667,26.756226555842304,431,20.402446389198307,19.14185063271791
6,cnn,8681,0.9351749149717118,0.8697977128660451,7.426673322924256,5.698178576423823,-0.02121064563776954,46.295694741071074,0.3161999381726963,435,40.20175635814667,10.11583707374574,431,20.402446389198307,7.753432244544492
6,cnn_lstm,8681,0.9456740272996388,0.8942410602917233,6.69335036008376,5.0706760867549825,0.1541687377359512,41.72437531471536,0.44457220296823674,435,40.20175635814667,11.45370744565517,431,20.402446389198307,7.106801500427175
6,cnn_gru,8681,0.9466897743254147,0.8912105329694177,6.788572164226899,5.113041367135981,-1.4185978928422454,42.317960004067096,0.42865639368425734,435,40.20175635814667,11.080394258297787,431,20.402446389198307,7.448978199833049
6,tcn,8681,0.8393911532374339,0.6904427859954616,11.451318107588277,8.685235884026316,-0.06407833314833068,71.38414528822456,-0.6257413501317013,435,40.20175635814667,17.099513861035504,431,20.402446389198307,12.463150193179246
6,transformer,8681,0.9278138269941933,0.8597349831040091,7.708319346302744,5.869513478307312,0.5064593953758216,48.0513931212757,0.2633522088056043,435,40.20175635814667,12.596275696090267,431,20.402446389198307,8.530760158137939
6,cnn_gru_rollout6,8681,0.9514965799005476,0.9044623957663782,6.361685388793841,4.793385714002822,-0.5506307527873443,39.65687354110856,0.4982529023121415,435,40.20175635814667,10.564632284295145,431,20.402446389198307,6.774427902724022
12,persistence,8681,0.7571710605390121,0.5136552122696288,14.347924789874515,10.921079041616483,-0.02901431678066625,89.4875324652405,-1.3539581704976547,435,40.20175635814667,20.459058663844186,431,20.402446389198307,14.203434350874009
12,ridge,8681,0.8925706869232451,0.7933927655020514,9.351681794852972,7.0950235690062184,-1.0053932193939383,58.32613011827915,0.0,435,40.20175635814667,15.839595084607788,431,20.402446389198307,10.784015128473465
